reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Fixation.started,text.started,key_resp.started,Fixation.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,
44,69,85,0,90,90,86,165.54953745900093,166.53606704200138,166.53606704200138,166.54297729200152,t,0.4244320409998181,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
12,73,100,0,91,91,9,166.9774039590011,167.95998537500054,167.95998537500054,167.96660662500108,t,0.6080294579987822,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
20,57,31,0,92,92,29,168.59388808400035,169.57664941700023,169.57664941700023,169.58335137500035,l,0.5674969579995377,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
45,79,50,0,93,93,74,170.16487637499995,171.14337733400134,171.14337733400134,171.1600921670015,l,0.7541156250008498,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
19,56,76,0,94,94,75,171.91515970900036,172.90215629200065,172.90215629200065,172.91009733400097,l,0.7956754170008935,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
12,77,33,0,95,95,35,173.71639850000065,174.7027989170001,174.7027989170001,174.7096301670008,l,0.7040410420013359,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
17,86,18,0,96,96,62,175.42826408400106,176.4094787920003,176.4094787920003,176.42688337500113,l,0.5014470000005531,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
34,71,18,0,97,97,59,176.92847620900102,177.91033245900144,177.91033245900144,177.92696012500164,l,0.3722383339991211,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
24,81,15,0,98,98,76,178.30035987500014,179.28631000000132,179.28631000000132,179.29344762500114,l,0.43800362500041956,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
39,61,48,0,99,99,42,179.74372979200052,180.71919466700092,180.71919466700092,180.7337489170004,l,0.6656874169984803,None,1,001,2023-11-22_17h25.08.440,delay_discounting,2023.1.3,None,
