43.7674 	EXP 	New trial (rep=0, index=25): {'reward_today': 44, 'future_reward': 67, 'delay': 11}
43.7774 	DATA 	Keypress: l
43.7826 	EXP 	Fixation: autoDraw = False
43.7826 	EXP 	text: autoDraw = False
43.7826 	EXP 	text: height = 0.05
43.7826 	EXP 	text: height = 0.05
43.7826 	EXP 	text: height = 0.05
43.7826 	EXP 	text: text = 'GBP 44 today or GBP 67 after 11 days'
43.7826 	EXP 	Fixation: autoDraw = True
44.7653 	EXP 	text: autoDraw = True
44.7718 	EXP 	Fixation: autoDraw = False
45.0339 	EXP 	New trial (rep=0, index=26): {'reward_today': 26, 'future_reward': 38, 'delay': 25}
45.0440 	DATA 	Keypress: l
45.0492 	EXP 	Fixation: autoDraw = False
45.0492 	EXP 	text: autoDraw = False
45.0492 	EXP 	text: height = 0.05
45.0492 	EXP 	text: height = 0.05
45.0492 	EXP 	text: height = 0.05
45.0492 	EXP 	text: text = 'GBP 26 today or GBP 38 after 25 days'
45.0492 	EXP 	Fixation: autoDraw = True
46.0320 	EXP 	text: autoDraw = True
46.0388 	EXP 	Fixation: autoDraw = False
46.3006 	EXP 	New trial (rep=0, index=27): {'reward_today': 31, 'future_reward': 76, 'delay': 52}
46.3107 	DATA 	Keypress: t
46.3159 	EXP 	Fixation: autoDraw = False
46.3159 	EXP 	text: autoDraw = False
46.3159 	EXP 	text: height = 0.05
46.3159 	EXP 	text: height = 0.05
46.3159 	EXP 	text: height = 0.05
46.3159 	EXP 	text: text = 'GBP 31 today or GBP 76 after 52 days'
46.3159 	EXP 	Fixation: autoDraw = True
47.2988 	EXP 	text: autoDraw = True
47.3060 	EXP 	Fixation: autoDraw = False
47.5909 	EXP 	New trial (rep=0, index=28): {'reward_today': 34, 'future_reward': 71, 'delay': 18}
47.6009 	DATA 	Keypress: t
47.6059 	EXP 	Fixation: autoDraw = False
47.6059 	EXP 	text: autoDraw = False
47.6059 	EXP 	text: height = 0.05
47.6059 	EXP 	text: height = 0.05
47.6059 	EXP 	text: height = 0.05
47.6059 	EXP 	text: text = 'GBP 34 today or GBP 71 after 18 days'
47.6059 	EXP 	Fixation: autoDraw = True
48.5909 	EXP 	text: autoDraw = True
48.5983 	EXP 	Fixation: autoDraw = False
49.1241 	EXP 	New trial (rep=0, index=29): {'reward_today': 17, 'future_reward': 50, 'delay': 44}
49.1341 	DATA 	Keypress: t
49.1391 	EXP 	Fixation: autoDraw = False
49.1391 	EXP 	text: autoDraw = False
49.1391 	EXP 	text: height = 0.05
49.1391 	EXP 	text: height = 0.05
49.1391 	EXP 	text: height = 0.05
49.1391 	EXP 	text: text = 'GBP 17 today or GBP 50 after 44 days'
49.1391 	EXP 	Fixation: autoDraw = True
50.1249 	EXP 	text: autoDraw = True
50.1317 	EXP 	Fixation: autoDraw = False
50.5509 	EXP 	New trial (rep=0, index=30): {'reward_today': 40, 'future_reward': 51, 'delay': 76}
50.5618 	DATA 	Keypress: t
50.5668 	EXP 	Fixation: autoDraw = False
50.5668 	EXP 	text: autoDraw = False
